Year,y,w
1970,51366.50616,17144.18671
1971,52061.13198,16120.72129
1972,55608.35466,18885.16814
1973,58652.38231,17771.37159
1974,60089.06334,19822.96331
1975,61123.15799,20146.27827
1976,61923.28022,21292.50475
1977,61545.11984,20690.35868
1978,65888.82492,20293.55494
1979,68815.29324,21110.04646
1980,71758.17194,20035.2008
1981,73960.86487,20385.47358
1982,72084.86633,17904.28565
1983,67928.22587,15438.8839
1984,67865.85963,14901.92038
1980,67626.92507,14671.38202
1981,63533.46361,14106.37983
1982,62470.27888,12767.37878
1983,61891.91906,12032.54566
1984,59875.72571,12354.59006
1985,57302.50012,12673.03831
1986,52765.41523,13406.61803
1987,51649.42311,14294.31196
1988,50078.40675,15096
1989,49184.90573,15320.69832
1988,45452.89282,12783.27051
1989,48796.08969,11762.465
1990,49613.4923,12037.58806
1991,47374.02272,12352.34048
1992,49723.57322,12550.81207
1993,54286.6342,12987.55358
1994,52319.5212,13128.88141
1995,52503.623,12991.90121
1996,52771.76069,12511.30524
1997,54483.38068,12326.48689
